Word;Frequency;%
antique;2;0.00625939
apart;2;0.00625939
ape;2;0.00625939
apparition;2;0.00625939
appears;2;0.00625939
apprehension;2;0.00625939
approve;2;0.00625939
apt;2;0.00625939
armd;2;0.00625939
armed;2;0.00625939
army;2;0.00625939
arrant;2;0.00625939
arrows;2;0.00625939
article;2;0.00625939
ask;2;0.00625939
asking;2;0.00625939
asleep;2;0.00625939
assigns;2;0.00625939
assistant;2;0.00625939
assurance;2;0.00625939
assurd;2;0.00625939
author;2;0.00625939
awake;2;0.00625939
awe;2;0.00625939
axe;2;0.00625939
baby;2;0.00625939
bakd;2;0.00625939
bands;2;0.00625939
barbary;2;0.00625939
baser;2;0.00625939
basket;2;0.00625939
bat;2;0.00625939
bearers;2;0.00625939
bears;2;0.00625939
beasts;2;0.00625939
beautified;2;0.00625939
beggars;2;0.00625939
begins;2;0.00625939
beguile;2;0.00625939
behaviour;2;0.00625939
belike;2;0.00625939
bell;2;0.00625939
bestowd;2;0.00625939
beware;2;0.00625939
beyond;2;0.00625939
bird;2;0.00625939
blank;2;0.00625939
blast;2;0.00625939
blasted;2;0.00625939
bleed;2;0.00625939
blest;2;0.00625939
blown;2;0.00625939
blows;2;0.00625939
blush;2;0.00625939
breaks;2;0.00625939
breathing;2;0.00625939
breed;2;0.00625939
broad;2;0.00625939
broke;2;0.00625939
brook;2;0.00625939
brows;2;0.00625939
builds;2;0.00625939
bulk;2;0.00625939
burn;2;0.00625939
burning;2;0.00625939
burns;2;0.00625939
buzz;2;0.00625939
byr;2;0.00625939
caesar;2;0.00625939
calld;2;0.00625939
calm;2;0.00625939
camel;2;0.00625939
canker;2;0.00625939
cap;2;0.00625939
capable;2;0.00625939
capital;2;0.00625939
card;2;0.00625939
carpenter;2;0.00625939
carrying;2;0.00625939
catch;2;0.00625939
caught;2;0.00625939
celestial;2;0.00625939
chance;2;0.00625939
chances;2;0.00625939
chapel;2;0.00625939
character;2;0.00625939
charitable;2;0.00625939
cheek;2;0.00625939
cheerfully;2;0.00625939
child;2;0.00625939
choler;2;0.00625939
church;2;0.00625939
city;2;0.00625939
claudius;2;0.00625939
coldly;2;0.00625939
collected;2;0.00625939
collection;2;0.00625939
comedy;2;0.00625939
comply;2;0.00625939
comst;2;0.00625939
confine;2;0.00625939
confound;2;0.00625939
consider;2;0.00625939
contagion;2;0.00625939
continent;2;0.00625939
contrive;2;0.00625939
convert;2;0.00625939
cost;2;0.00625939
couch;2;0.00625939
courtiers;2;0.00625939
coward;2;0.00625939
craft;2;0.00625939
creature;2;0.00625939
crew;2;0.00625939
cruel;2;0.00625939
currents;2;0.00625939
cut;2;0.00625939
daggers;2;0.00625939
dearest;2;0.00625939
dearly;2;0.00625939
defeat;2;0.00625939
defect;2;0.00625939
defence;2;0.00625939
delay;2;0.00625939
delicate;2;0.00625939
deliver;2;0.00625939
demand;2;0.00625939
demands;2;0.00625939
deny;2;0.00625939
depends;2;0.00625939
desert;2;0.00625939
desperation;2;0.00625939
desprate;2;0.00625939
destroy;2;0.00625939
diadem;2;0.00625939
diet;2;0.00625939
difference;2;0.00625939
dig;2;0.00625939
dignity;2;0.00625939
directly;2;0.00625939
dirt;2;0.00625939
disclosd;2;0.00625939
dishonour;2;0.00625939
dismal;2;0.00625939
dispatch;2;0.00625939
distraction;2;0.00625939
distrust;2;0.00625939
divide;2;0.00625939
divinity;2;0.00625939
dog;2;0.00625939
doubtful;2;0.00625939
dove;2;0.00625939
dozen;2;0.00625939
drive;2;0.00625939
eager;2;0.00625939
easiness;2;0.00625939
easy;2;0.00625939
eats;2;0.00625939
effects;2;0.00625939
em;2;0.00625939
embrace;2;0.00625939
empire;2;0.00625939
employment;2;0.00625939
enact;2;0.00625939
ends;2;0.00625939
enemies;2;0.00625939
english;2;0.00625939
enterprise;2;0.00625939
entreaty;2;0.00625939
envenomd;2;0.00625939
envy;2;0.00625939
epitaph;2;0.00625939
equal;2;0.00625939
escape;2;0.00625939
especially;2;0.00625939
eternal;2;0.00625939
event;2;0.00625939
everything;2;0.00625939
exchange;2;0.00625939
exercise;2;0.00625939
expel;2;0.00625939
extremity;2;0.00625939
faces;2;0.00625939
faculties;2;0.00625939
fame;2;0.00625939
fares;2;0.00625939
farm;2;0.00625939
fate;2;0.00625939
fates;2;0.00625939
favours;2;0.00625939
fears;2;0.00625939
feature;2;0.00625939
fed;2;0.00625939
feet;2;0.00625939
fellowship;2;0.00625939
fetch;2;0.00625939
fighting;2;0.00625939
fill;2;0.00625939
fines;2;0.00625939
fish;2;0.00625939
fishmonger;2;0.00625939
fits;2;0.00625939
flame;2;0.00625939
flames;2;0.00625939
flaming;2;0.00625939
foe;2;0.00625939
foil;2;0.00625939
followed;2;0.00625939
food;2;0.00625939
fools;2;0.00625939
forbid;2;0.00625939
forcd;2;0.00625939
forehead;2;0.00625939
forgive;2;0.00625939
fors;2;0.00625939
forty;2;0.00625939
frankly;2;0.00625939
fruit;2;0.00625939
gain;2;0.00625939
gait;2;0.00625939
gall;2;0.00625939
galls;2;0.00625939
garden;2;0.00625939
gent;2;0.00625939
gentry;2;0.00625939
glass;2;0.00625939
goodness;2;0.00625939
got;2;0.00625939
graces;2;0.00625939
grapple;2;0.00625939
gravemaker;2;0.00625939
green;2;0.00625939
grieve;2;0.00625939
guest;2;0.00625939
guts;2;0.00625939
happily;2;0.00625939
having;2;0.00625939
heads;2;0.00625939
hearers;2;0.00625939
heavenly;2;0.00625939
heed;2;0.00625939
heel;2;0.00625939
held;2;0.00625939
heraldry;2;0.00625939
hey;2;0.00625939
hid;2;0.00625939
hideous;2;0.00625939
history;2;0.00625939
hitherto;2;0.00625939
hobbyhorse;2;0.00625939
holy;2;0.00625939
honours;2;0.00625939
horrid;2;0.00625939
horridly;2;0.00625939
horses;2;0.00625939
hours;2;0.00625939
houses;2;0.00625939
hum;2;0.00625939
hundred;2;0.00625939
hurt;2;0.00625939
hurts;2;0.00625939
ice;2;0.00625939
immediate;2;0.00625939
imminent;2;0.00625939
impond;2;0.00625939
incensd;2;0.00625939
inclination;2;0.00625939
inform;2;0.00625939
instrument;2;0.00625939
intent;2;0.00625939
issue;2;0.00625939
jealousy;2;0.00625939
jig;2;0.00625939
join;2;0.00625939
jot;2;0.00625939
jove;2;0.00625939
joys;2;0.00625939
julius;2;0.00625939
jump;2;0.00625939
just;2;0.00625939
keen;2;0.00625939
kin;2;0.00625939
knavery;2;0.00625939
knavish;2;0.00625939
kneels;2;0.00625939
knees;2;0.00625939
knowing;2;0.00625939
knowst;2;0.00625939
labour;2;0.00625939
lap;2;0.00625939
larded;2;0.00625939
lasting;2;0.00625939
lawless;2;0.00625939
laying;2;0.00625939
leaps;2;0.00625939
least;2;0.00625939
level;2;0.00625939
levies;2;0.00625939
liberal;2;0.00625939
limbs;2;0.00625939
line;2;0.00625939
lips;2;0.00625939
liquor;2;0.00625939
living;2;0.00625939
loam;2;0.00625939
lobby;2;0.00625939
lock;2;0.00625939
lockd;2;0.00625939
loose;2;0.00625939
loved;2;0.00625939
lucianus;2;0.00625939
lunacy;2;0.00625939
lungs;2;0.00625939
lust;2;0.00625939
maggots;2;0.00625939
maiden;2;0.00625939
majestical;2;0.00625939
majesties;2;0.00625939
malicious;2;0.00625939
manners;2;0.00625939
mason;2;0.00625939
matters;2;0.00625939
meeting;2;0.00625939
melancholy;2;0.00625939
melt;2;0.00625939
merely;2;0.00625939
merit;2;0.00625939
merry;2;0.00625939
messengers;2;0.00625939
method;2;0.00625939
middle;2;0.00625939
mirror;2;0.00625939
mirth;2;0.00625939
mischance;2;0.00625939
mole;2;0.00625939
moment;2;0.00625939
money;2;0.00625939
mount;2;0.00625939
mountains;2;0.00625939
mouse;2;0.00625939
moves;2;0.00625939
mutes;2;0.00625939
naked;2;0.00625939
naught;2;0.00625939
nearer;2;0.00625939
necessary;2;0.00625939
neglected;2;0.00625939
nephews;2;0.00625939
neptunes;2;0.00625939
norman;2;0.00625939
nose;2;0.00625939
numbers;2;0.00625939
oath;2;0.00625939
obedience;2;0.00625939
obligation;2;0.00625939
observance;2;0.00625939
odd;2;0.00625939
offences;2;0.00625939
officers;2;0.00625939
ones;2;0.00625939
open;2;0.00625939
opinions;2;0.00625939
opposition;2;0.00625939
orchard;2;0.00625939
ordnance;2;0.00625939
origin;2;0.00625939
ours;2;0.00625939
outward;2;0.00625939
overdone;2;0.00625939
pace;2;0.00625939
painted;2;0.00625939
pair;2;0.00625939
palm;2;0.00625939
paper;2;0.00625939
pardond;2;0.00625939
passionate;2;0.00625939
pastime;2;0.00625939
patch;2;0.00625939
peasant;2;0.00625939
peep;2;0.00625939
performd;2;0.00625939
perfume;2;0.00625939
pestilent;2;0.00625939
petty;2;0.00625939
philosophy;2;0.00625939
picture;2;0.00625939
placd;2;0.00625939
plague;2;0.00625939
playing;2;0.00625939
plays;2;0.00625939
pleasd;2;0.00625939
pleasures;2;0.00625939
plots;2;0.00625939
plucks;2;0.00625939
points;2;0.00625939
poisoner;2;0.00625939
pole;2;0.00625939
post;2;0.00625939
potent;2;0.00625939
pours;2;0.00625939
praisd;2;0.00625939
praise;2;0.00625939
prayer;2;0.00625939
prayers;2;0.00625939
precedent;2;0.00625939
precious;2;0.00625939
pregnant;2;0.00625939
pretty;2;0.00625939
prevent;2;0.00625939
prisoner;2;0.00625939
proceed;2;0.00625939
proclaim;2;0.00625939
proclaims;2;0.00625939
prodigal;2;0.00625939
profound;2;0.00625939
promisd;2;0.00625939
pronouncd;2;0.00625939
proper;2;0.00625939
prophesy;2;0.00625939
propose;2;0.00625939
providence;2;0.00625939
puffd;2;0.00625939
purging;2;0.00625939
purposd;2;0.00625939
pursue;2;0.00625939
quarrel;2;0.00625939
quit;2;0.00625939
ranker;2;0.00625939
rate;2;0.00625939
reading;2;0.00625939
reasons;2;0.00625939
rebellious;2;0.00625939
recoveries;2;0.00625939
red;2;0.00625939
redeliver;2;0.00625939
regard;2;0.00625939
region;2;0.00625939
relievd;2;0.00625939
relish;2;0.00625939
remain;2;0.00625939
remove;2;0.00625939
repair;2;0.00625939
reply;2;0.00625939
requite;2;0.00625939
respect;2;0.00625939
rests;2;0.00625939
returns;2;0.00625939
rewards;2;0.00625939
rhenish;2;0.00625939
richer;2;0.00625939
rights;2;0.00625939
ring;2;0.00625939
rise;2;0.00625939
rites;2;0.00625939
roar;2;0.00625939
roman;2;0.00625939
rome;2;0.00625939
rotten;2;0.00625939
roughly;2;0.00625939
rub;2;0.00625939
rude;2;0.00625939
rue;2;0.00625939
rugged;2;0.00625939
run;2;0.00625939
runs;2;0.00625939
sable;2;0.00625939
sables;2;0.00625939
safe;2;0.00625939
safely;2;0.00625939
sailor;2;0.00625939
salvation;2;0.00625939
sate;2;0.00625939
sayst;2;0.00625939
sblood;2;0.00625939
scale;2;0.00625939
scandal;2;0.00625939
scape;2;0.00625939
scarce;2;0.00625939
scarcely;2;0.00625939
scholars;2;0.00625939
scourge;2;0.00625939
scripture;2;0.00625939
seat;2;0.00625939
secure;2;0.00625939
seeks;2;0.00625939
seemd;2;0.00625939
seeming;2;0.00625939
sees;2;0.00625939
sending;2;0.00625939
senseless;2;0.00625939
serpent;2;0.00625939
servants;2;0.00625939
servd;2;0.00625939
serve;2;0.00625939
serves;2;0.00625939
sets;2;0.00625939
shadows;2;0.00625939
shake;2;0.00625939
shes;2;0.00625939
ship;2;0.00625939
shipwright;2;0.00625939
shoes;2;0.00625939
shouldst;2;0.00625939
shown;2;0.00625939
shuffling;2;0.00625939
sickly;2;0.00625939
sickness;2;0.00625939
side;2;0.00625939
signify;2;0.00625939
sin;2;0.00625939
sinews;2;0.00625939
single;2;0.00625939
sins;2;0.00625939
slander;2;0.00625939
slightly;2;0.00625939
smile;2;0.00625939
smooth;2;0.00625939
soil;2;0.00625939
songs;2;0.00625939
sons;2;0.00625939
sooner;2;0.00625939
source;2;0.00625939
spoke;2;0.00625939
spoken;2;0.00625939
spokes;2;0.00625939
spread;2;0.00625939
spurns;2;0.00625939
stamp;2;0.00625939
station;2;0.00625939
step;2;0.00625939
sting;2;0.00625939
stone;2;0.00625939
stops;2;0.00625939
strangely;2;0.00625939
straw;2;0.00625939
streets;2;0.00625939
strength;2;0.00625939
strict;2;0.00625939
strike;2;0.00625939
strumpet;2;0.00625939
substance;2;0.00625939
succession;2;0.00625939
suckd;2;0.00625939
sultry;2;0.00625939
summit;2;0.00625939
supper;2;0.00625939
suppress;2;0.00625939
swearing;2;0.00625939
sweat;2;0.00625939
sweep;2;0.00625939
swift;2;0.00625939
sworn;2;0.00625939
swounds;2;0.00625939
tables;2;0.00625939
taen;2;0.00625939
talk;2;0.00625939
talkd;2;0.00625939
tardy;2;0.00625939
tedious;2;0.00625939
teeth;2;0.00625939
term;2;0.00625939
thin;2;0.00625939
throne;2;0.00625939
thrown;2;0.00625939
throws;2;0.00625939
thunder;2;0.00625939
today;2;0.00625939
toe;2;0.00625939
toy;2;0.00625939
trace;2;0.00625939
trade;2;0.00625939
trail;2;0.00625939
translate;2;0.00625939
travel;2;0.00625939
treacherous;2;0.00625939
treachery;2;0.00625939
treble;2;0.00625939
tremble;2;0.00625939
trial;2;0.00625939
tribute;2;0.00625939
trouble;2;0.00625939
troubles;2;0.00625939
truant;2;0.00625939
truelove;2;0.00625939
trust;2;0.00625939
tune;2;0.00625939
tunes;2;0.00625939
tush;2;0.00625939
twain;2;0.00625939
twixt;2;0.00625939
unbated;2;0.00625939
unction;2;0.00625939
undertake;2;0.00625939
union;2;0.00625939
unknown;2;0.00625939
unworthy;2;0.00625939
upont;2;0.00625939
usd;2;0.00625939
valiant;2;0.00625939
vantage;2;0.00625939
variable;2;0.00625939
vengeance;2;0.00625939
venom;2;0.00625939
view;2;0.00625939
violets;2;0.00625939
virtues;2;0.00625939
volt;2;0.00625939
vouchers;2;0.00625939
vow;2;0.00625939
voyage;2;0.00625939
vulgar;2;0.00625939
wag;2;0.00625939
wait;2;0.00625939
walks;2;0.00625939
want;2;0.00625939
wants;2;0.00625939
war;2;0.00625939
wars;2;0.00625939
wary;2;0.00625939
wash;2;0.00625939
wax;2;0.00625939
waxes;2;0.00625939
weak;2;0.00625939
weakness;2;0.00625939
weapon;2;0.00625939
wears;2;0.00625939
weary;2;0.00625939
weasel;2;0.00625939
weigh;2;0.00625939
weighd;2;0.00625939
whale;2;0.00625939
whereof;2;0.00625939
wheres;2;0.00625939
whiles;2;0.00625939
whips;2;0.00625939
whisper;2;0.00625939
whoreson;2;0.00625939
wildly;2;0.00625939
willing;2;0.00625939
willingly;2;0.00625939
wine;2;0.00625939
wings;2;0.00625939
wipe;2;0.00625939
wise;2;0.00625939
wisely;2;0.00625939
witchcraft;2;0.00625939
witness;2;0.00625939
wittingly;2;0.00625939
wonderful;2;0.00625939
wonted;2;0.00625939
working;2;0.00625939
worlds;2;0.00625939
worms;2;0.00625939
wormwood;2;0.00625939
wounds;2;0.00625939
wrongd;2;0.00625939
wrote;2;0.00625939
yield;2;0.00625939
yonder;2;0.00625939
abate;1;0.00312969
abatements;1;0.00312969
abhorred;1;0.00312969
ability;1;0.00312969
able;1;0.00312969
abominably;1;0.00312969
abridgment;1;0.00312969
abroad;1;0.00312969
absent;1;0.00312969
abstinence;1;0.00312969
abstract;1;0.00312969
abusd;1;0.00312969
abuse;1;0.00312969
abuses;1;0.00312969
accepts;1;0.00312969
access;1;0.00312969
accidental;1;0.00312969
accidents;1;0.00312969
accord;1;0.00312969
account;1;0.00312969
accounted;1;0.00312969
accurst;1;0.00312969
accuse;1;0.00312969
ache;1;0.00312969
achievements;1;0.00312969
acquaint;1;0.00312969
acquire;1;0.00312969
acquittance;1;0.00312969
acres;1;0.00312969
across;1;0.00312969
acted;1;0.00312969
acting;1;0.00312969
actively;1;0.00312969
acursing;1;0.00312969
adam;1;0.00312969
adams;1;0.00312969
adders;1;0.00312969
addicted;1;0.00312969
address;1;0.00312969
adheres;1;0.00312969
adjoind;1;0.00312969
admirable;1;0.00312969
admittance;1;0.00312969
adoption;1;0.00312969
adowna;1;0.00312969
adulterate;1;0.00312969
advancd;1;0.00312969
advantage;1;0.00312969
adventurous;1;0.00312969
advise;1;0.00312969
aeneas;1;0.00312969
afeard;1;0.00312969
affairs;1;0.00312969
affectation;1;0.00312969
affections;1;0.00312969
afflict;1;0.00312969
afflicts;1;0.00312969
affrighted;1;0.00312969
affront;1;0.00312969
afoot;1;0.00312969
afraid;1;0.00312969
afternoon;1;0.00312969
afterwards;1;0.00312969
ago;1;0.00312969
agreeing;1;0.00312969
aid;1;0.00312969
aim;1;0.00312969
aimd;1;0.00312969
airs;1;0.00312969
airy;1;0.00312969
aliis;1;0.00312969
allegiance;1;0.00312969
alleys;1;0.00312969
allow;1;0.00312969
also;1;0.00312969
altitude;1;0.00312969
altogether;1;0.00312969
always;1;0.00312969
amaking;1;0.00312969
amazd;1;0.00312969
amaze;1;0.00312969
amber;1;0.00312969
ambiguous;1;0.00312969
amble;1;0.00312969
amen;1;0.00312969
amercy;1;0.00312969
amities;1;0.00312969
among;1;0.00312969
anchors;1;0.00312969
ancient;1;0.00312969
anger;1;0.00312969
angle;1;0.00312969
angry;1;0.00312969
animals;1;0.00312969
ankle;1;0.00312969
annexment;1;0.00312969
annual;1;0.00312969
anoint;1;0.00312969
anothers;1;0.00312969
answerd;1;0.00312969
answerest;1;0.00312969
answers;1;0.00312969
antic;1;0.00312969
anticipation;1;0.00312969
antiquity;1;0.00312969
apiece;1;0.00312969
apoplexd;1;0.00312969
appal;1;0.00312969
apparel;1;0.00312969
appeareth;1;0.00312969
appetite;1;0.00312969
applaud;1;0.00312969
appliance;1;0.00312969
appointment;1;0.00312969
approaches;1;0.00312969
appurtenance;1;0.00312969
aptly;1;0.00312969
ardour;1;0.00312969
argues;1;0.00312969
aright;1;0.00312969
arithmetic;1;0.00312969
aroused;1;0.00312969
arraign;1;0.00312969
arrest;1;0.00312969
arrests;1;0.00312969
arrivd;1;0.00312969
arrow;1;0.00312969
articles;1;0.00312969
artire;1;0.00312969
artless;1;0.00312969
ashamd;1;0.00312969
askd;1;0.00312969
aslant;1;0.00312969
aspect;1;0.00312969
assail;1;0.00312969
assault;1;0.00312969
assayd;1;0.00312969
assays;1;0.00312969
associates;1;0.00312969
assure;1;0.00312969
asunder;1;0.00312969
attend;1;0.00312969
attended;1;0.00312969
attends;1;0.00312969
attent;1;0.00312969
attractive;1;0.00312969
attribute;1;0.00312969
audit;1;0.00312969
augury;1;0.00312969
auntmother;1;0.00312969
auspicious;1;0.00312969
authorities;1;0.00312969
avouch;1;0.00312969
awork;1;0.00312969
awry;1;0.00312969
aye;1;0.00312969
babe;1;0.00312969
backd;1;0.00312969
backward;1;0.00312969
bade;1;0.00312969
bait;1;0.00312969
bakers;1;0.00312969
ban;1;0.00312969
bank;1;0.00312969
baptista;1;0.00312969
bar;1;0.00312969
barbers;1;0.00312969
bare;1;0.00312969
barefacd;1;0.00312969
barefoot;1;0.00312969
bark;1;0.00312969
barkd;1;0.00312969
barrd;1;0.00312969
barrel;1;0.00312969
barren;1;0.00312969
baseness;1;0.00312969
bastard;1;0.00312969
bated;1;0.00312969
battalions;1;0.00312969
batten;1;0.00312969
battery;1;0.00312969
battlements;1;0.00312969
bawd;1;0.00312969
bawdry;1;0.00312969
bawds;1;0.00312969
bawdy;1;0.00312969
beam;1;0.00312969
beards;1;0.00312969
bearing;1;0.00312969
beart;1;0.00312969
beat;1;0.00312969
beaten;1;0.00312969
beats;1;0.00312969
beauteous;1;0.00312969
beautied;1;0.00312969
beauties;1;0.00312969
beaver;1;0.00312969
became;1;0.00312969
because;1;0.00312969
beck;1;0.00312969
bedded;1;0.00312969
bedrid;1;0.00312969
beds;1;0.00312969
bedtime;1;0.00312969
beer;1;0.00312969
beetles;1;0.00312969
befalln;1;0.00312969
befitted;1;0.00312969
beget;1;0.00312969
beggard;1;0.00312969
behavd;1;0.00312969
behold;1;0.00312969
behooves;1;0.00312969
behove;1;0.00312969
belief;1;0.00312969
believd;1;0.00312969
bellow;1;0.00312969
bellowed;1;0.00312969
bells;1;0.00312969
belovd;1;0.00312969
bended;1;0.00312969
benefit;1;0.00312969
benetted;1;0.00312969
berattle;1;0.00312969
beseechd;1;0.00312969
beshrew;1;0.00312969
besides;1;0.00312969
besmirch;1;0.00312969
bespeak;1;0.00312969
bestial;1;0.00312969
bet;1;0.00312969
beteem;1;0.00312969
bethought;1;0.00312969
betimes;1;0.00312969
betoken;1;0.00312969
betterd;1;0.00312969
bevy;1;0.00312969
bewept;1;0.00312969
bias;1;0.00312969
bier;1;0.00312969
bilboes;1;0.00312969
birds;1;0.00312969
bisson;1;0.00312969
bites;1;0.00312969
blackest;1;0.00312969
blanket;1;0.00312969
blanks;1;0.00312969
blasting;1;0.00312969
blastments;1;0.00312969
blasts;1;0.00312969
blaze;1;0.00312969
blazes;1;0.00312969
blazon;1;0.00312969
bleeding;1;0.00312969
blench;1;0.00312969
blister;1;0.00312969
bloat;1;0.00312969
bloodily;1;0.00312969
blossoms;1;0.00312969
blue;1;0.00312969
blunted;1;0.00312969
blurs;1;0.00312969
board;1;0.00312969
boarded;1;0.00312969
bodes;1;0.00312969
bodiless;1;0.00312969
bodkin;1;0.00312969
bodykins;1;0.00312969
boistrous;1;0.00312969
bonnet;1;0.00312969
bonny;1;0.00312969
books;1;0.00312969
borrowed;1;0.00312969
borrower;1;0.00312969
borrowing;1;0.00312969
botch;1;0.00312969
boughs;1;0.00312969
bought;1;0.00312969
bounded;1;0.00312969
bounds;1;0.00312969
bounteous;1;0.00312969
bounty;1;0.00312969
bourn;1;0.00312969
bout;1;0.00312969
bouts;1;0.00312969
bowl;1;0.00312969
box;1;0.00312969
boys;1;0.00312969
brainish;1;0.00312969
branchesit;1;0.00312969
brands;1;0.00312969
bravery;1;0.00312969
bray;1;0.00312969
brazd;1;0.00312969
brazen;1;0.00312969
breach;1;0.00312969
bread;1;0.00312969
breadth;1;0.00312969
breaking;1;0.00312969
breast;1;0.00312969
breathes;1;0.00312969
breeder;1;0.00312969
breeding;1;0.00312969
brevity;1;0.00312969
bridebed;1;0.00312969
bringing;1;0.00312969
brings;1;0.00312969
broach;1;0.00312969
broken;1;0.00312969
brokers;1;0.00312969
brood;1;0.00312969
brothel;1;0.00312969
bruit;1;0.00312969
brute;1;0.00312969
brutus;1;0.00312969
bubbles;1;0.00312969
budge;1;0.00312969
buffets;1;0.00312969
bugs;1;0.00312969
build;1;0.00312969
built;1;0.00312969
bulwark;1;0.00312969
bunghole;1;0.00312969
burnt;1;0.00312969
burthen;1;0.00312969
busy;1;0.00312969
button;1;0.00312969
buttons;1;0.00312969
buy;1;0.00312969
buyer;1;0.00312969
buys;1;0.00312969
buzzers;1;0.00312969
c;1;0.00312969
cabin;1;0.00312969
cains;1;0.00312969
calamity;1;0.00312969
calendar;1;0.00312969
calf;1;0.00312969
callt;1;0.00312969
calmly;1;0.00312969
calumnious;1;0.00312969
calumny;1;0.00312969
calves;1;0.00312969
calveskins;1;0.00312969
candied;1;0.00312969
cannoneer;1;0.00312969
cannons;1;0.00312969
canon;1;0.00312969
canonizd;1;0.00312969
canopy;1;0.00312969
capability;1;0.00312969
capape;1;0.00312969
capitol;1;0.00312969
capons;1;0.00312969
caps;1;0.00312969
captains;1;0.00312969
carbuncles;1;0.00312969
carefully;1;0.00312969
careless;1;0.00312969
carnal;1;0.00312969
carouses;1;0.00312969
carp;1;0.00312969
carriage;1;0.00312969
carried;1;0.00312969
carries;1;0.00312969
carrion;1;0.00312969
cars;1;0.00312969
cart;1;0.00312969
carters;1;0.00312969
carve;1;0.00312969
case;1;0.00312969
cases;1;0.00312969
casual;1;0.00312969
cat;1;0.00312969
cataplasm;1;0.00312969
cautel;1;0.00312969
caution;1;0.00312969
caviary;1;0.00312969
cease;1;0.00312969
celebrated;1;0.00312969
cell;1;0.00312969
cellarage;1;0.00312969
centre;1;0.00312969
cerements;1;0.00312969
certainty;1;0.00312969
cesse;1;0.00312969
chalice;1;0.00312969
challenger;1;0.00312969
chamberlain;1;0.00312969
chameleons;1;0.00312969
changed;1;0.00312969
changeling;1;0.00312969
changes;1;0.00312969
chanson;1;0.00312969
chap;1;0.00312969
chapless;1;0.00312969
chariest;1;0.00312969
charity;1;0.00312969
charm;1;0.00312969
chase;1;0.00312969
chaunted;1;0.00312969
checking;1;0.00312969
cherub;1;0.00312969
chide;1;0.00312969
chiefest;1;0.00312969
chiefly;1;0.00312969
chopine;1;0.00312969
chorus;1;0.00312969
chough;1;0.00312969
christians;1;0.00312969
chronicles;1;0.00312969
churches;1;0.00312969
churchyard;1;0.00312969
churchyards;1;0.00312969
churlish;1;0.00312969
cicatrice;1;0.00312969
circumscribd;1;0.00312969
circumstances;1;0.00312969
circumvent;1;0.00312969
clad;1;0.00312969
claim;1;0.00312969
clambring;1;0.00312969
clamour;1;0.00312969
clappd;1;0.00312969
claudio;1;0.00312969
clawed;1;0.00312969
clays;1;0.00312969
clear;1;0.00312969
clearly;1;0.00312969
cleave;1;0.00312969
cleft;1;0.00312969
clemency;1;0.00312969
cliff;1;0.00312969
climature;1;0.00312969
clip;1;0.00312969
cloak;1;0.00312969
cloes;1;0.00312969
closely;1;0.00312969
clothe;1;0.00312969
clothes;1;0.00312969
cloud;1;0.00312969
clout;1;0.00312969
clouts;1;0.00312969
clutch;1;0.00312969
coach;1;0.00312969
coagulate;1;0.00312969
cockle;1;0.00312969
coffin;1;0.00312969
coil;1;0.00312969
coinage;1;0.00312969
collateral;1;0.00312969
colleagued;1;0.00312969
colours;1;0.00312969
columbines;1;0.00312969
comart;1;0.00312969
combat;1;0.00312969
combated;1;0.00312969
combination;1;0.00312969
combined;1;0.00312969
comfort;1;0.00312969
comma;1;0.00312969
commanded;1;0.00312969
commands;1;0.00312969
commencement;1;0.00312969
commendable;1;0.00312969
commended;1;0.00312969
comment;1;0.00312969
commerce;1;0.00312969
commingled;1;0.00312969
commune;1;0.00312969
compact;1;0.00312969
companies;1;0.00312969
companions;1;0.00312969
company;1;0.00312969
compare;1;0.00312969
compass;1;0.00312969
compelld;1;0.00312969
compelled;1;0.00312969
competent;1;0.00312969
complete;1;0.00312969
composd;1;0.00312969
compost;1;0.00312969
compound;1;0.00312969
compounded;1;0.00312969
compulsatory;1;0.00312969
compulsive;1;0.00312969
comrade;1;0.00312969
comutual;1;0.00312969
conceald;1;0.00312969
conceive;1;0.00312969
conception;1;0.00312969
concernancy;1;0.00312969
concernings;1;0.00312969
concluded;1;0.00312969
conclusions;1;0.00312969
condole;1;0.00312969
condolement;1;0.00312969
confederate;1;0.00312969
conference;1;0.00312969
confesst;1;0.00312969
confind;1;0.00312969
confines;1;0.00312969
confront;1;0.00312969
confusion;1;0.00312969
congregation;1;0.00312969
congruing;1;0.00312969
conjectures;1;0.00312969
conjoind;1;0.00312969
conjunctive;1;0.00312969
conjuration;1;0.00312969
conjure;1;0.00312969
conjures;1;0.00312969
conqueror;1;0.00312969
conquest;1;0.00312969
considerd;1;0.00312969
considered;1;0.00312969
consonancy;1;0.00312969
constant;1;0.00312969
constantly;1;0.00312969
consummation;1;0.00312969
contagious;1;0.00312969
containing;1;0.00312969
contend;1;0.00312969
contents;1;0.00312969
continual;1;0.00312969
contract;1;0.00312969
contracted;1;0.00312969
contraction;1;0.00312969
contrary;1;0.00312969
contriving;1;0.00312969
controversy;1;0.00312969
contumely;1;0.00312969
convenience;1;0.00312969
conveniently;1;0.00312969
conversation;1;0.00312969
converse;1;0.00312969
converted;1;0.00312969
convey;1;0.00312969
conveyance;1;0.00312969
conveyances;1;0.00312969
convocation;1;0.00312969
convoy;1;0.00312969
cool;1;0.00312969
copd;1;0.00312969
copied;1;0.00312969
cor;1;0.00312969
core;1;0.00312969
