Word;Frequency;%
any;12;0.0375563
being;12;0.0375563
bring;12;0.0375563
ere;12;0.0375563
fire;12;0.0375563
fit;12;0.0375563
further;12;0.0375563
has;12;0.0375563
haste;12;0.0375563
help;12;0.0375563
int;12;0.0375563
kind;12;0.0375563
madam;12;0.0375563
marcellus;12;0.0375563
men;12;0.0375563
mind;12;0.0375563
myself;12;0.0375563
oft;12;0.0375563
please;12;0.0375563
purpose;12;0.0375563
remember;12;0.0375563
revenge;12;0.0375563
same;12;0.0375563
saw;12;0.0375563
sleep;12;0.0375563
stay;12;0.0375563
things;12;0.0375563
together;12;0.0375563
twere;12;0.0375563
voice;12;0.0375563
word;12;0.0375563
bed;11;0.0344266
best;11;0.0344266
business;11;0.0344266
deed;11;0.0344266
each;11;0.0344266
een;11;0.0344266
face;11;0.0344266
far;11;0.0344266
fortune;11;0.0344266
foul;11;0.0344266
full;11;0.0344266
grave;11;0.0344266
hands;11;0.0344266
hell;11;0.0344266
honest;11;0.0344266
mean;11;0.0344266
name;11;0.0344266
near;11;0.0344266
passion;11;0.0344266
right;11;0.0344266
second;11;0.0344266
thought;11;0.0344266
thousand;11;0.0344266
tonight;11;0.0344266
villain;11;0.0344266
way;11;0.0344266
whats;11;0.0344266
wind;11;0.0344266
action;10;0.0312969
alas;10;0.0312969
almost;10;0.0312969
alone;10;0.0312969
arms;10;0.0312969
aught;10;0.0312969
awhile;10;0.0312969
command;10;0.0312969
courtier;10;0.0312969
doubt;10;0.0312969
excellent;10;0.0312969
fellow;10;0.0312969
fine;10;0.0312969
free;10;0.0312969
given;10;0.0312969
hamlets;10;0.0312969
hes;10;0.0312969
honour;10;0.0312969
late;10;0.0312969
lie;10;0.0312969
memory;10;0.0312969
neither;10;0.0312969
news;10;0.0312969
noise;10;0.0312969
peace;10;0.0312969
phrase;10;0.0312969
pyrrhus;10;0.0312969
seem;10;0.0312969
skull;10;0.0312969
soft;10;0.0312969
swear;10;0.0312969
takes;10;0.0312969
thanks;10;0.0312969
work;10;0.0312969
age;9;0.0281673
attendants;9;0.0281673
behind;9;0.0281673
bernardo;9;0.0281673
breath;9;0.0281673
brother;9;0.0281673
brothers;9;0.0281673
came;9;0.0281673
custom;9;0.0281673
dot;9;0.0281673
draw;9;0.0281673
ears;9;0.0281673
fall;9;0.0281673
fell;9;0.0281673
get;9;0.0281673
gives;9;0.0281673
ground;9;0.0281673
kings;9;0.0281673
lay;9;0.0281673
letters;9;0.0281673
light;9;0.0281673
lost;9;0.0281673
meet;9;0.0281673
offence;9;0.0281673
place;9;0.0281673
seek;9;0.0281673
sight;9;0.0281673
strange;9;0.0281673
sun;9;0.0281673
sure;9;0.0281673
thank;9;0.0281673
three;9;0.0281673
through;9;0.0281673
uncle;9;0.0281673
walk;9;0.0281673
adieu;8;0.0250376
back;8;0.0250376
black;8;0.0250376
break;8;0.0250376
charge;8;0.0250376
conscience;8;0.0250376
devil;8;0.0250376
every;8;0.0250376
falls;8;0.0250376
fashion;8;0.0250376
flourish;8;0.0250376
fran;8;0.0250376
gave;8;0.0250376
grow;8;0.0250376
heavens;8;0.0250376
heres;8;0.0250376
hither;8;0.0250376
hope;8;0.0250376
hour;8;0.0250376
husband;8;0.0250376
joy;8;0.0250376
judgment;8;0.0250376
known;8;0.0250376
less;8;0.0250376
looks;8;0.0250376
lordship;8;0.0250376
music;8;0.0250376
ont;8;0.0250376
pale;8;0.0250376
particular;8;0.0250376
power;8;0.0250376
quick;8;0.0250376
says;8;0.0250376
service;8;0.0250376
shame;8;0.0250376
shows;8;0.0250376
sit;8;0.0250376
tears;8;0.0250376
tot;8;0.0250376
truly;8;0.0250376
unto;8;0.0250376
wherein;8;0.0250376
wife;8;0.0250376
wilt;8;0.0250376
woe;8;0.0250376
bad;7;0.0219079
beg;7;0.0219079
beseech;7;0.0219079
bloody;7;0.0219079
capt;7;0.0219079
coming;7;0.0219079
common;7;0.0219079
desire;7;0.0219079
die;7;0.0219079
dies;7;0.0219079
drownd;7;0.0219079
dust;7;0.0219079
effect;7;0.0219079
enough;7;0.0219079
fool;7;0.0219079
fortunes;7;0.0219079
general;7;0.0219079
law;7;0.0219079
list;7;0.0219079
lords;7;0.0219079
lose;7;0.0219079
loves;7;0.0219079
mothers;7;0.0219079
needs;7;0.0219079
obey;7;0.0219079
osric;7;0.0219079
piece;7;0.0219079
rank;7;0.0219079
receive;7;0.0219079
sister;7;0.0219079
soldiers;7;0.0219079
sound;7;0.0219079
t;7;0.0219079
table;7;0.0219079
times;7;0.0219079
top;7;0.0219079
turn;7;0.0219079
understand;7;0.0219079
whole;7;0.0219079
wholesome;7;0.0219079
wisdom;7;0.0219079
woman;7;0.0219079
1;6;0.0187782
already;6;0.0187782
ambassadors;6;0.0187782
ambition;6;0.0187782
anon;6;0.0187782
arras;6;0.0187782
beard;6;0.0187782
beast;6;0.0187782
beauty;6;0.0187782
begin;6;0.0187782
bid;6;0.0187782
brain;6;0.0187782
brought;6;0.0187782
buried;6;0.0187782
cast;6;0.0187782
choice;6;0.0187782
circumstance;6;0.0187782
cock;6;0.0187782
cold;6;0.0187782
court;6;0.0187782
crown;6;0.0187782
damned;6;0.0187782
dane;6;0.0187782
danish;6;0.0187782
dare;6;0.0187782
discourse;6;0.0187782
double;6;0.0187782
dream;6;0.0187782
dull;6;0.0187782
dumb;6;0.0187782
either;6;0.0187782
false;6;0.0187782
fare;6;0.0187782
fat;6;0.0187782
feed;6;0.0187782
foils;6;0.0187782
fort;6;0.0187782
forth;6;0.0187782
gods;6;0.0187782
gracious;6;0.0187782
guilty;6;0.0187782
ha;6;0.0187782
health;6;0.0187782
heavy;6;0.0187782
herself;6;0.0187782
hit;6;0.0187782
home;6;0.0187782
hot;6;0.0187782
house;6;0.0187782
ii;6;0.0187782
lack;6;0.0187782
laid;6;0.0187782
laugh;6;0.0187782
lies;6;0.0187782
longer;6;0.0187782
maid;6;0.0187782
march;6;0.0187782
marriage;6;0.0187782
mouth;6;0.0187782
move;6;0.0187782
note;6;0.0187782
only;6;0.0187782
others;6;0.0187782
pardon;6;0.0187782
pass;6;0.0187782
point;6;0.0187782
poison;6;0.0187782
prison;6;0.0187782
prithee;6;0.0187782
proof;6;0.0187782
reynaldo;6;0.0187782
round;6;0.0187782
sea;6;0.0187782
season;6;0.0187782
seems;6;0.0187782
shape;6;0.0187782
shot;6;0.0187782
slain;6;0.0187782
sorrow;6;0.0187782
souls;6;0.0187782
speaks;6;0.0187782
star;6;0.0187782
stood;6;0.0187782
struck;6;0.0187782
touch;6;0.0187782
toward;6;0.0187782
truth;6;0.0187782
try;6;0.0187782
voltemand;6;0.0187782
vows;6;0.0187782
wager;6;0.0187782
water;6;0.0187782
whether;6;0.0187782
whom;6;0.0187782
wicked;6;0.0187782
withal;6;0.0187782
wouldst;6;0.0187782
wrong;6;0.0187782
yours;6;0.0187782
alexander;5;0.0156485
anything;5;0.0156485
arm;5;0.0156485
ass;5;0.0156485
attendant;5;0.0156485
audience;5;0.0156485
base;5;0.0156485
blessing;5;0.0156485
bodies;5;0.0156485
bound;5;0.0156485
brains;5;0.0156485
brief;5;0.0156485
carriages;5;0.0156485
choose;5;0.0156485
christian;5;0.0156485
closet;5;0.0156485
colour;5;0.0156485
commission;5;0.0156485
conceit;5;0.0156485
confess;5;0.0156485
cornelius;5;0.0156485
course;5;0.0156485
cries;5;0.0156485
cry;5;0.0156485
damnd;5;0.0156485
danger;5;0.0156485
dangerous;5;0.0156485
days;5;0.0156485
disposition;5;0.0156485
door;5;0.0156485
dread;5;0.0156485
drown;5;0.0156485
eat;5;0.0156485
fast;5;0.0156485
fault;5;0.0156485
fie;5;0.0156485
figure;5;0.0156485
fingers;5;0.0156485
flesh;5;0.0156485
fly;5;0.0156485
forgot;5;0.0156485
found;5;0.0156485
four;5;0.0156485
france;5;0.0156485
french;5;0.0156485
funeral;5;0.0156485
gentle;5;0.0156485
gifts;5;0.0156485
grows;5;0.0156485
half;5;0.0156485
hard;5;0.0156485
hat;5;0.0156485
hide;5;0.0156485
holds;5;0.0156485
honesty;5;0.0156485
honourd;5;0.0156485
humbly;5;0.0156485
impart;5;0.0156485
ins;5;0.0156485
killd;5;0.0156485
kingdom;5;0.0156485
knave;5;0.0156485
knew;5;0.0156485
land;5;0.0156485
liberty;5;0.0156485
lovd;5;0.0156485
mans;5;0.0156485
mass;5;0.0156485
methinks;5;0.0156485
moon;5;0.0156485
morning;5;0.0156485
mortal;5;0.0156485
motive;5;0.0156485
natural;5;0.0156485
next;5;0.0156485
nunnery;5;0.0156485
over;5;0.0156485
patience;5;0.0156485
perchance;5;0.0156485
perhaps;5;0.0156485
player;5;0.0156485
presently;5;0.0156485
prince;5;0.0156485
prologue;5;0.0156485
puts;5;0.0156485
quiet;5;0.0156485
rather;5;0.0156485
read;5;0.0156485
report;5;0.0156485
return;5;0.0156485
safety;5;0.0156485
save;5;0.0156485
seald;5;0.0156485
shalt;5;0.0156485
short;5;0.0156485
silence;5;0.0156485
sing;5;0.0156485
sits;5;0.0156485
spirits;5;0.0156485
stage;5;0.0156485
stir;5;0.0156485
sudden;5;0.0156485
terms;5;0.0156485
themselves;5;0.0156485
throw;5;0.0156485
thyself;5;0.0156485
told;5;0.0156485
treason;5;0.0156485
trumpet;5;0.0156485
twelve;5;0.0156485
under;5;0.0156485
vile;5;0.0156485
visage;5;0.0156485
visit;5;0.0156485
warlike;5;0.0156485
went;5;0.0156485
whereon;5;0.0156485
wit;5;0.0156485
wits;5;0.0156485
woot;5;0.0156485
writ;5;0.0156485
year;5;0.0156485
yes;5;0.0156485
above;4;0.0125188
affair;4;0.0125188
affection;4;0.0125188
angel;4;0.0125188
argument;4;0.0125188
assume;4;0.0125188
b;4;0.0125188
begun;4;0.0125188
beneath;4;0.0125188
bestow;4;0.0125188
birth;4;0.0125188
bones;4;0.0125188
book;4;0.0125188
bore;4;0.0125188
bosom;4;0.0125188
burial;4;0.0125188
byandby;4;0.0125188
calls;4;0.0125188
cannon;4;0.0125188
censure;4;0.0125188
certain;4;0.0125188
change;4;0.0125188
closes;4;0.0125188
clouds;4;0.0125188
commandment;4;0.0125188
commend;4;0.0125188
consent;4;0.0125188
consequence;4;0.0125188
countenance;4;0.0125188
cousin;4;0.0125188
cunning;4;0.0125188
cup;4;0.0125188
